                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6654,                 3.7431,                 1.6337,                0.00888,                 0.3963,                0.05732,                0.02751,                 1.8811,                 3.7186,                  1.767,                 0.0991,                 0.0001,                 0.0001
                      1,                 1.6081,                 3.7316,                 1.6182,                0.00775,                0.36077,                0.05912,                0.03105,                 1.7515,                 3.7112,                 1.6985,               0.097152,              0.0001515,              0.0001515
