                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.85739,                 1.2497,                 1.0022,                0.64941,                0.65413,                0.67187,                0.48501,                 1.0918,                  1.917,                 1.1842,               0.035577,              0.0045775,              0.0045775
                     35,                0.86297,                 1.2382,                 1.0112,                 0.6692,                0.64612,                0.69353,                0.49758,                 1.0304,                 1.8284,                 1.1484,                0.03364,              0.0046399,              0.0046399
                     36,                0.76288,                 1.1431,                0.99425,                 0.6692,                0.64612,                0.69353,                0.49758,                 1.0304,                 1.8284,                 1.1484,               0.031698,              0.0046983,              0.0046983
                     37,                0.81501,                 1.1457,                0.97448,                0.68777,                0.70954,                 0.7348,                0.51923,                 1.1016,                 1.6581,                 1.1483,               0.029753,              0.0047528,              0.0047528
                     38,                0.85762,                  1.252,                 1.0566,                0.65487,                 0.7512,                0.73262,                0.53773,                 1.0169,                 1.5481,                 1.1252,               0.027803,              0.0048033,              0.0048033
                     39,                0.82181,                 1.1397,                0.97518,                0.65487,                 0.7512,                0.73262,                0.53773,                 1.0169,                 1.5481,                 1.1252,                0.02585,              0.0048498,              0.0048498
                     40,                0.76858,                 1.0053,                0.97593,                0.69726,                 0.7176,                0.74866,                  0.512,                 1.1444,                 1.5763,                 1.1817,               0.023892,              0.0048924,              0.0048924
                     41,                 0.8482,                0.99402,                 1.0101,                0.65363,                0.71847,                0.75695,                0.55293,                 1.0219,                  1.629,                 1.1381,               0.021931,               0.004931,               0.004931
                     42,                0.81022,                 1.0907,                0.98789,                0.65363,                0.71847,                0.75695,                0.55293,                 1.0219,                  1.629,                 1.1381,               0.019966,              0.0049657,              0.0049657
                     43,                0.79281,                 1.0521,                 1.0153,                0.73263,                0.65742,                0.77187,                0.56064,                 1.0652,                 1.6261,                  1.169,               0.017996,              0.0049964,              0.0049964
                     44,                0.77661,                 1.0228,                0.98067,                0.73263,                0.65742,                0.77187,                0.56064,                 1.0652,                 1.6261,                  1.169,               0.016023,              0.0050232,              0.0050232
                     45,                0.78662,                 1.0314,                 0.9856,                0.69186,                0.66712,                0.78905,                0.56271,                 1.0771,                 1.5044,                 1.1617,               0.014046,               0.005046,               0.005046
                     46,                 0.8238,                0.99927,                0.96239,                0.69186,                0.66712,                0.78905,                0.56271,                 1.0771,                 1.5044,                 1.1617,               0.012065,              0.0050648,              0.0050648
                     47,                0.85714,                 1.0541,                 1.0112,                0.79497,                0.64596,                0.80953,                0.59755,                 1.0437,                 1.5492,                 1.1427,                0.01008,              0.0050797,              0.0050797
                     48,                0.77824,                 1.0414,                 1.0014,                0.79497,                0.64596,                0.80953,                0.59755,                 1.0437,                 1.5492,                 1.1427,              0.0080906,              0.0050906,              0.0050906
                     49,                0.78917,                 1.0112,                0.98837,                 0.5661,                 0.5453,                0.64257,                0.41953,                 1.2617,                 2.0166,                 1.3154,              0.0060975,              0.0050975,              0.0050975
                     50,                0.80596,                0.99504,                 0.9694,                 0.5661,                 0.5453,                0.64257,                0.41953,                 1.2617,                 2.0166,                 1.3154,                0.00505,                0.00505,                0.00505
                     51,                0.75697,                0.97487,                0.98004,                0.80088,                0.66775,                0.81169,                0.59576,                 1.1159,                 1.6623,                  1.212,                0.00505,                0.00505,                0.00505
                     52,                 0.7616,                0.97895,                0.99097,                0.80088,                0.66775,                0.81169,                0.59576,                 1.1159,                 1.6623,                  1.212,               0.004951,               0.004951,               0.004951
                     53,                0.73638,                0.91642,                0.97058,                 0.7849,                0.68584,                0.80961,                0.59611,                 1.0652,                 1.4656,                 1.1646,               0.004852,               0.004852,               0.004852
                     54,                0.77714,                0.94004,                0.98341,                 0.7849,                0.68584,                0.80961,                0.59611,                 1.0652,                 1.4656,                 1.1646,               0.004753,               0.004753,               0.004753
                     55,                0.78069,                0.96588,                0.96558,                0.64638,                0.69899,                0.72871,                0.45995,                 1.1969,                 1.5164,                 1.2388,               0.004654,               0.004654,               0.004654
                     56,                0.76915,                0.89926,                0.97189,                0.64638,                0.69899,                0.72871,                0.45995,                 1.1969,                 1.5164,                 1.2388,               0.004555,               0.004555,               0.004555
                     57,                 0.8382,                0.95262,                0.98351,                0.72676,                0.76111,                 0.8037,                0.61488,                0.99768,                  1.354,                 1.1398,               0.004456,               0.004456,               0.004456
                     58,                0.69977,                0.88054,                0.95507,                0.72676,                0.76111,                 0.8037,                0.61488,                0.99768,                  1.354,                 1.1398,               0.004357,               0.004357,               0.004357
                     59,                0.73332,                0.88373,                0.99522,                0.76192,                 0.7471,                0.79158,                 0.6029,                 1.0421,                  1.298,                 1.1766,               0.004258,               0.004258,               0.004258
                     60,                0.71788,                0.85287,                0.96868,                0.76192,                 0.7471,                0.79158,                 0.6029,                 1.0421,                  1.298,                 1.1766,               0.004159,               0.004159,               0.004159
                     61,                0.73819,                0.86809,                0.97254,                 0.7964,                0.75208,                0.83834,                0.66979,                0.96861,                 1.2099,                 1.1128,                0.00406,                0.00406,                0.00406
                     62,                0.75696,                0.88173,                0.98446,                 0.7964,                0.75208,                0.83834,                0.66979,                0.96861,                 1.2099,                 1.1128,               0.003961,               0.003961,               0.003961
                     63,                0.73995,                0.89624,                0.97944,                0.68113,                0.76873,                0.77848,                0.59721,                  1.004,                 1.3234,                 1.1421,               0.003862,               0.003862,               0.003862
                     64,                0.74059,                0.87911,                0.96306,                0.68113,                0.76873,                0.77848,                0.59721,                  1.004,                 1.3234,                 1.1421,               0.003763,               0.003763,               0.003763
                     65,                0.74904,                0.85421,                0.94221,                0.69699,                0.75125,                 0.7548,                0.57934,                0.98424,                 1.3197,                 1.1487,               0.003664,               0.003664,               0.003664
                     66,                0.73582,                0.88034,                0.95646,                0.69699,                0.75125,                 0.7548,                0.57934,                0.98424,                 1.3197,                 1.1487,               0.003565,               0.003565,               0.003565
                     67,                0.71235,                0.86716,                 0.9559,                0.73989,                0.77652,                0.79143,                0.58739,                 0.9801,                 1.3282,                  1.131,               0.003466,               0.003466,               0.003466
                     68,                0.72571,                0.88845,                0.96684,                0.73989,                0.77652,                0.79143,                0.58739,                 0.9801,                 1.3282,                  1.131,               0.003367,               0.003367,               0.003367
                     69,                0.71698,                0.83152,                0.94624,                0.81863,                 0.7302,                0.81241,                0.63932,                0.98591,                 1.2753,                 1.1314,               0.003268,               0.003268,               0.003268
                     70,                0.68998,                0.83938,                0.94157,                0.81863,                 0.7302,                0.81241,                0.63932,                0.98591,                 1.2753,                 1.1314,               0.003169,               0.003169,               0.003169
